antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
legendary=Yes,tier=Uber,0.11305070656691604,0.10141313383208644,0.06234413965087282,0.5514705882352942,5.43786162005786,0.05087931321599023,2.0034067835874794,0.9201249609497032
tier=Uber,legendary=Yes,0.10141313383208644,0.11305070656691604,0.06234413965087282,0.6147540983606558,5.437861620057859,0.05087931321599023,2.302293910613537,0.9082084489670058
tier=Strong,"dual_type=Yes, gen=Recent(7-9)",0.24771404821280132,0.16375727348295926,0.0798004987531172,0.3221476510067114,1.9672265185841311,0.03923552161436254,1.2336650123865254,0.6535681399631675
"dual_type=Yes, gen=Recent(7-9)",tier=Strong,0.16375727348295926,0.24771404821280132,0.0798004987531172,0.4873096446700508,1.9672265185841311,0.03923552161436254,1.467330024773051,0.5879514579191518
"dual_type=Yes, gen=Recent(7-9), legendary=No",tier=Strong,0.13050706566916043,0.24771404821280132,0.059850374064837904,0.4585987261146497,1.8513230453554483,0.02752194050755627,1.3895164050657671,0.5288665816868494
"dual_type=Yes, gen=Recent(7-9)","legendary=No, tier=Strong",0.16375727348295926,0.20199501246882792,0.059850374064837904,0.36548223350253806,1.8093626621545402,0.026772221565786285,1.2576558603491272,0.5349155069582505
"dual_type=Yes, tier=Strong",gen=Recent(7-9),0.16874480465502908,0.2776392352452203,0.0798004987531172,0.47290640394088673,1.7033125866493615,0.032950320237090845,1.3704601424786944,0.4967291666666667
"dual_type=Yes, legendary=No, tier=Strong",gen=Recent(7-9),0.13881961762261014,0.2776392352452203,0.059850374064837904,0.4311377245508982,1.5528703072896124,0.021308601591062522,1.2698341864636655,0.41342235092235097
"dual_type=Yes, tier=Strong","gen=Recent(7-9), legendary=No",0.16874480465502908,0.2310889443059019,0.059850374064837904,0.35467980295566504,1.5348194350923203,0.020855315300001592,1.1915186588236788,0.4191944444444445
tier=VeryWeak,"dual_type=No, legendary=No",0.12718204488778054,0.40980881130507063,0.07813798836242726,0.6143790849673203,1.4991846637235018,0.02601766572761778,1.5304957944122746,0.38148936170212766
type1=Bug,"dual_type=Yes, legendary=No",0.0739817123857024,0.4771404821280133,0.05236907730673317,0.7078651685393259,1.483557138942176,0.017069407390363105,1.7897883496387241,0.35198483941751446
"gen=Recent(7-9), legendary=No, tier=Strong",dual_type=Yes,0.07315045719035744,0.5527847049044057,0.059850374064837904,0.8181818181818181,1.4801093643198904,0.019413920173243802,2.459684123025768,0.349975087194818
"gen=Recent(7-9), tier=Strong",dual_type=Yes,0.09891936824605153,0.5527847049044057,0.0798004987531172,0.8067226890756303,1.4593795412902002,0.02511938496789337,2.3138530485380753,0.349333102706027
gen=Recent(7-9),tier=Strong,0.2776392352452203,0.24771404821280132,0.09891936824605153,0.3562874251497006,1.4383012498492946,0.030144229340751755,1.168667478590346,0.42186034367717173
tier=Strong,gen=Recent(7-9),0.24771404821280132,0.2776392352452203,0.09891936824605153,0.39932885906040266,1.4383012498492946,0.030144229340751755,1.2025894295917563,0.40507915873531736
type1=Normal,"dual_type=No, legendary=No",0.10723192019950124,0.40980881130507063,0.06317539484621779,0.5891472868217055,1.4376149818387662,0.01923080909529999,1.436503081917847,0.34096589238459285
tier=VeryWeak,dual_type=No,0.12718204488778054,0.4472152950955943,0.07896924355777224,0.6209150326797387,1.3884029448210515,0.022091487822422345,1.4582079284547258,0.3205112781954889
tier=Weak,"gen=Mid(4-6), legendary=No",0.2119700748129676,0.2826267664172901,0.0831255195344971,0.39215686274509803,1.3875432525951557,0.02321710271287699,1.180194674603813,0.35443037974683544
type1=Normal,dual_type=No,0.10723192019950124,0.4472152950955943,0.06650041562759768,0.62015503875969,1.3867035532117233,0.018544660791910507,1.4552903455646602,0.31236033519553086
"legendary=No, tier=VeryWeak",dual_type=No,0.12635078969243557,0.4472152950955943,0.07813798836242726,0.618421052631579,1.3828262570925456,0.021631982664563308,1.4486771576805115,0.3168815919995142
"legendary=No, type1=Normal",dual_type=No,0.10224438902743142,0.4472152950955943,0.06317539484621779,0.6178861788617885,1.381630247529241,0.017450140235446297,1.4466493341115294,0.30767543859649127
tier=Uber,dual_type=Yes,0.10141313383208644,0.5527847049044057,0.07647547797173733,0.7540983606557378,1.3641809441636878,0.020415848712936426,1.8186755333887508,0.29708804247275084
